Country,SID,Area_km2,Population
Angola,FALSE,1246700,25646166
Botswana,FALSE,582000,2024904
Comoros,TRUE,2235,575660
Democratic Republic of the Congo,FALSE,2344858,78736153
Eswatini,FALSE,17363,844223
Lesotho,FALSE,30355,1741406
Madagascar,FALSE,587295,12238914
Malawi,FALSE,118484,13077160
Mauritius,TRUE,1969,1237000
Mozambique,FALSE,801590,20252223
Namibia,FALSE,824268,2104900
Seychelles,TRUE,456,90945
South Africa,FALSE,1221037,56000000
Tanzania,FALSE,947303,44928923
Zambia,FALSE,752612,13046508
Zimbabwe,FALSE,390757,12973808
